name,movement,targeting,fighting,code license,code java
Smoke,random movement,statistical targeting,one on one,*,X
SpinBot,pattern movement,head on targeting;linear targeting,one on one;melee,eclipse public license,X
Spitfire,*,bullet shielding,one on one;melee,gcwcd,X
Splinter,stop and go;random movement,linear targeting,*,rwpcl,X
Spread,*,*,one on one,*,X
Stormrider,go to;surfing,dynamic clustering;guessfactor targeting,*,*,X
SuperBoxBot,corner movement;pattern movement,head on targeting,one on one;melee,public domain,X
SuperCorners,provocative movement,segmented mean;circular targeting,one on one,public domain,X
SuperCrazy,wall smoothing;random orbital movement,random targeting,one on one,public domain,X
SuperMercutio,anti gravity movement;wave surfing;virtual bullet dodging,segmented last;bearing offset targeting,one on one,public domain,X
SuperRamFire,orbital movement;ramming movement,circular targeting,one on one,public domain,X
SuperSittingDuck,pattern movement,*,one on one,public domain,X
SuperSpinBot,pattern movement,segmented mean;circular targeting,one on one,public domain,X
SuperTracker,aggressive movement,linear targeting,one on one,public domain,X
SuperTrackFire,random pattern movement,head on targeting,one on one,public domain,X
SuperWalls,random pattern movement,linear targeting;head on targeting,one on one,public domain,X
Tahoe,wave surfing,guessfactor targeting,one on one,*,
Talon,minimum risk movement,head on targeting,melee,*,
Target,pattern movement;pimitive adaptive movement,*,one on one;melee,eclipse public license,
TassieDevils,anti gravity movement;minimum risk movement;oscillator movement,circular targeting,one on one,rwpcl,
TheArtOfWar,anti gravity movement;virtual bullet dodging,virtual guns;head on targeting;mean linear targeting;circular targeting,one on one;melee,public domain,X
TheRiver,minimum risk movement,guessfactor targeting;crowd targeting;dynamic clustering;play it forward,one on one,nprl,
Thorn,random movement;stop and go,guessfactor targeting,one on one,rwpcl,X
Tide,*,linear targeting,one on one,*,X
Tityus,random movement,guessfactor targeting,one on one,rwpcl,X
Toa,perpendicular,virtual guns;head on targeting;circular targeting;linear targeting,one on one;melee,*,X
Toad,wave surfing,dynamic segmentation;guessfactor targeting,one on one,*,
Tomcat,wave surfing,play it forward,one on one,cc by-nd 3.0,X
Toorkild,random movement;stop and go,multiple choice pattern matcher,one on one,*,X
TormentedAngel,wave surfing,guessfactor targeting,*,*,
Tracker,pattern movement,head on targeting,one on one;melee,eclipse public license,X
TrackFire,*,head on targeting,one on one;melee,eclipse public license,X
Tron,wave surfing;anti gravity movement,play it forward;dynamic clustering,one on one;melee,*,
TybaltMelee,anti gravity movement,reduced linear targeting,melee,*,X
Tyranius,wave surfing,guessfactor targeting,one on one,rwpcl,X
Ucatcher,pusedo not moving;random movement,*,one on one,*,
Unreal,*,*,one on one,*,
User;Tkiesel/Copernicus,wave surfing;minimum risk movement,guessfactor targeting,*,*,
VARBot,minimum risk movement,head on targeting,one on one;melee;teams,*,
VARoadstter,*,*,*,*,
VelociRobot,pattern movement,head on targeting,one on one;melee;teams,eclipse public license,X
Voidious/LocationBot,*,*,*,*,X
Vyper,musashi trick;stop and go;random movement,guessfactor targeting,one on one;teams,rwpcl,X
Wallaby,minimum risk movement;anti gravity movement;oscillator movement,circular targeting,melee,rwpcl,X
Walls (robot),pattern movement,head on targeting,melee,eclipse public license,X
WarBot,semi circular movement,linear targeting,*,*,
Watermelon,wave surfing,guessfactor targeting,one on one;melee,*,X
WaveRammer,wave surfing,guessfactor targeting,*,*,
WaveSerpent,wave surfing,guessfactor targeting,one on one,rwpcl,X
WaveShark,wave surfing,pattern matching,one on one,rwpcl,X
WaveSurfingChallengeBots,*,*,*,*,
Waylander,stop and go;random movement,pattern matching,one on one;melee,*,X
WeekendObsession,random movement,pattern matching,one on one;melee,rwpcl,X
WeeklongObsession,random movement,single tick pattern matching,one on one,*,X
WeeksOnEnd,wave surfing,pattern matching,one on one,*,X
Whiskey,wave surfing,pattern matching,one on one,*,X
WhiteWhale (robot),*,*,*,*,
Wintermute,wave surfing;true surfing,dynamic clustering;guessfactor targeting,one on one,*,X
WorstBot,wall hug movement,head on targeting,*,*,
XanderCat,anti mirror;ramescape,guessfactor targeting;linear targeting;circular targeting;anti mirror;bullet shielding,one on one,gcwcd,
Yatagan,multi mode,pattern matching,one on one,rwpcl,X
YersiniaPestis,wave surfing,dynamic clustering;guessfactor targeting,one on one,*,X
