name,JHipsterRegister,Docker,applicationType,authenticationType,hibernateCache,clusteredHttpSession,websocket,databaseType,devDatabaseType,prodDatabaseType,buildTool,searchEngine,enableSocialSignIn,useSass,enableTranslation,Generate,Compile,Log.Compile,Build,protractor,cucumber,gatling,Log.Gen,Bug
94,jhipster47,,microservice,uaa,hazelcast,no,no,sql,mysql,mysql,gradle,elasticsearch,,,X,OK,OK,NA,KO,FALSE,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
95,jhipster48,X,monolith,oauth2,ehcache,no,spring-websocket,sql,DiskBased,postgresql,maven,elasticsearch,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:OAUTH2
96,jhipster48,,monolith,oauth2,ehcache,no,spring-websocket,sql,DiskBased,postgresql,maven,elasticsearch,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
97,jhipster49,X,monolith,jwt,hazelcast,no,no,sql,DiskBased,mysql,maven,no,X,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
98,jhipster49,,monolith,jwt,hazelcast,no,no,sql,DiskBased,mysql,maven,no,X,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
99,jhipster50,X,monolith,jwt,hazelcast,hazelcast,spring-websocket,sql,DiskBased,mariadb,maven,elasticsearch,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
100,jhipster50,,monolith,jwt,hazelcast,hazelcast,spring-websocket,sql,DiskBased,mariadb,maven,elasticsearch,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
101,jhipster51,X,monolith,oauth2,hazelcast,no,spring-websocket,sql,DiskBased,postgresql,maven,elasticsearch,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:OAUTH2
102,jhipster51,,monolith,oauth2,hazelcast,no,spring-websocket,sql,DiskBased,postgresql,maven,elasticsearch,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
103,jhipster52,X,monolith,jwt,ehcache,hazelcast,no,sql,InMemory,postgresql,maven,no,X,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
104,jhipster52,,monolith,jwt,ehcache,hazelcast,no,sql,InMemory,postgresql,maven,no,X,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
105,jhipster53,X,monolith,jwt,ehcache,hazelcast,spring-websocket,sql,postgresql,postgresql,maven,elasticsearch,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
106,jhipster53,,monolith,jwt,ehcache,hazelcast,spring-websocket,sql,postgresql,postgresql,maven,elasticsearch,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
107,jhipster54,X,gateway,jwt,no,hazelcast,spring-websocket,sql,InMemory,postgresql,gradle,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
108,jhipster54,,gateway,jwt,no,hazelcast,spring-websocket,sql,InMemory,postgresql,gradle,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
109,jhipster55,X,gateway,jwt,no,no,no,sql,postgresql,postgresql,gradle,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
110,jhipster55,,gateway,jwt,no,no,no,sql,postgresql,postgresql,gradle,no,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
111,jhipster56,X,gateway,uaa,no,no,spring-websocket,sql,postgresql,postgresql,gradle,no,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
112,jhipster56,,gateway,uaa,no,no,spring-websocket,sql,postgresql,postgresql,gradle,no,,,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
113,jhipster57,X,gateway,jwt,ehcache,no,spring-websocket,sql,InMemory,mysql,maven,elasticsearch,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
114,jhipster57,,gateway,jwt,ehcache,no,spring-websocket,sql,InMemory,mysql,maven,elasticsearch,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
115,jhipster58,X,gateway,uaa,no,hazelcast,no,sql,DiskBased,postgresql,maven,no,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
116,jhipster58,,gateway,uaa,no,hazelcast,no,sql,DiskBased,postgresql,maven,no,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
117,jhipster59,X,gateway,uaa,no,no,no,sql,DiskBased,mysql,maven,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
118,jhipster59,,gateway,uaa,no,no,no,sql,DiskBased,mysql,maven,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
119,jhipster60,X,gateway,uaa,no,no,no,sql,mariadb,mariadb,maven,elasticsearch,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
120,jhipster60,,gateway,uaa,no,no,no,sql,mariadb,mariadb,maven,elasticsearch,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
121,jhipster61,X,gateway,uaa,no,hazelcast,spring-websocket,cassandra,cassandra,cassandra,maven,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithDocker
122,jhipster61,,gateway,uaa,no,hazelcast,spring-websocket,cassandra,cassandra,cassandra,maven,no,,,X,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:UAAAuthenticationWithEhcache
123,jhipster62,X,monolith,session,hazelcast,hazelcast,spring-websocket,sql,InMemory,postgresql,gradle,no,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
124,jhipster62,,monolith,session,hazelcast,hazelcast,spring-websocket,sql,InMemory,postgresql,gradle,no,X,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
125,jhipster63,X,monolith,oauth2,ehcache,hazelcast,no,sql,DiskBased,postgresql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
126,jhipster63,,monolith,oauth2,ehcache,hazelcast,no,sql,DiskBased,postgresql,maven,no,,,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
127,jhipster64,X,monolith,jwt,no,hazelcast,spring-websocket,sql,mysql,mysql,maven,elasticsearch,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
128,jhipster64,,monolith,jwt,no,hazelcast,spring-websocket,sql,mysql,mysql,maven,elasticsearch,,X,X,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
129,jhipster65,X,gateway,uaa,hazelcast,hazelcast,spring-websocket,sql,InMemory,mariadb,gradle,elasticsearch,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
130,jhipster65,,gateway,uaa,hazelcast,hazelcast,spring-websocket,sql,InMemory,mariadb,gradle,elasticsearch,,X,,OK,OK,NA,KO,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,BUG:mariadbWithGradle
131,jhipster66,X,monolith,session,hazelcast,no,spring-websocket,sql,DiskBased,postgresql,gradle,elasticsearch,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
132,jhipster66,,monolith,session,hazelcast,no,spring-websocket,sql,DiskBased,postgresql,gradle,elasticsearch,,X,,OK,OK,NA,OK,X,X,X,ExceptionHandlingAsyncTaskExecutor.java;ExceptionTranslator.java;,NA
